Seriation_Number	Assemblage	9061977-1-1	8294896-8378091-1	227870-1-4229510	4-2492952-1	9181798-3957527-7592136	4-5276383-4669321	7753122-2-431175	9181798-3117198-7592136	9636610-0-3	4-1-9942181	2473746-5276383-4669321	4-7693920-7750398	9623887-1-2060932	9181798-1502609-7592136	4-5877793-4669321	8158736-2-7592136	1-2-9532769	9181798-2-4669321	1-6025387-0	8695831-8378091-1	1448255-2-4669321	3-3-2	0-2-1995998	4-4984435-1	6192733-259050-7592136	4-8378091-1	9623887-1-1	2063955-2-3	7863202-1-1	6889274-1-1	3191128-1-1	4-7151548-7750398	4-2685437-1	6192733-2-7592136	1748456-8378091-1	3948743-1-1	3-3-2147400	9365128-3957527-7592136	7753122-2-4669321	8870343-1-7750398	1-2-0	2777301-1-1	4-1614726-1	9181798-2-2301938	7844269-2-3	0-2-6302437	3966182-7693920-7750398	4651270-3-2794454	5018925-2-4669321	7753122-2-9676178	4-302497-1	4-1648437-1	9181798-5154364-7592136	4-5765550-7750398	4-2-3	3-3-2794454	1679986-2-3	4-1-9142594	4-2849363-1	4-8310257-1	0-2-3258519	8978118-2-7592136	4-2-9334340	0-2-3	9181798-9836127-7592136	9181798-4328863-7592136	1-0-3	4-8112055-4991260	4-1-1	9181798-2-7592136	4-1-658608	4-1-5610076	4-1-3701992	4-1-4229510	1679986-2-6667230	9181798-2-8302053	9181798-9615953-7592136	4-1-9353944	2-4-4	4-2-4669321	4-1-4991260	4-9019547-4669321	4-1-7750398	6268320-8378091-1	9181798-9886437-4669321	9181798-2-9068187
236	assemblage-730-151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	36	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	14
236	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

237	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
237	assemblage-129-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	133	0	295	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	26
237	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

238	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
238	assemblage-129-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	133	0	295	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	26
238	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

239	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
239	assemblage-988-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	340	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	27
239	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

240	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
240	assemblage-988-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	340	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	27
240	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

241	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
241	assemblage-988-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	340	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	27
241	assemblage-129-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	133	0	295	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	26

242	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
242	assemblage-320-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0	0	0	0	14	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	53	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	21
242	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

243	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
243	assemblage-320-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0	0	0	0	14	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	53	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	21
243	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

244	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
244	assemblage-835-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	292	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24
244	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

245	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
245	assemblage-835-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	292	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24
245	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

246	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
246	assemblage-835-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	292	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24
246	assemblage-129-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	133	0	295	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	26

247	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
247	assemblage-835-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	292	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24
247	assemblage-320-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0	0	0	0	14	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	53	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	21

248	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
248	assemblage-816-440	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	27	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	239	47	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	12
248	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

249	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
249	assemblage-268-692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	0	0	0	0	15	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	19
249	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

250	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
250	assemblage-268-692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	0	0	0	0	15	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	19
250	assemblage-816-440	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	27	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	239	47	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	12

251	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
251	assemblage-146-669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	147	0	301	0	0	0	0	0	0	0	0	0	0	3	0	24	0	0	0	12
251	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

252	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
252	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
252	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

253	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
253	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
253	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

254	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
254	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
254	assemblage-129-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	133	0	295	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	26

255	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
255	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
255	assemblage-320-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0	0	0	0	14	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	53	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	21

256	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
256	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
256	assemblage-835-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	292	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24

257	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
257	assemblage-332-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	176	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	28
257	assemblage-146-669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	147	0	301	0	0	0	0	0	0	0	0	0	0	3	0	24	0	0	0	12

258	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
258	assemblage-714-569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	53	388	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	14
258	assemblage-265-238	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	346	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21

259	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
259	assemblage-714-569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	53	388	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	14
259	assemblage-863-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	0	0	0	0	0	0	161	33	0	0	14	0	0	0	0	0	0	0	0	0	209	0	0	13

260	assemblage-549-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
